ratio,method,f1
5,DA-HGNN only,0.1111111111111111
5,GAE+ML only,0.1016949152542373
5,Naive Average,0.08333333333333333
5,Meta-Learner,0.0
5,Attention Fusion,0.5
10,DA-HGNN only,0.09523809523809523
10,GAE+ML only,0.0594059405940594
10,Naive Average,0.06060606060606061
10,Meta-Learner,0.0
10,Attention Fusion,0.4827586206896552
20,DA-HGNN only,0.07692307692307693
20,GAE+ML only,0.030456852791878174
20,Naive Average,0.034482758620689655
20,Meta-Learner,0.0
20,Attention Fusion,0.5
40,DA-HGNN only,0.04878048780487805
40,GAE+ML only,0.016129032258064516
40,Naive Average,0.021505376344086023
40,Meta-Learner,0.0
40,Attention Fusion,0.3333333333333333
